REGION;AREA;CABANG;TIPE;Total Skor ;Total Satpam (KONDISI 1);Total Keberadaan Satpam;Total Penaksir (KONDISI 1);Total Kasir (KONDISI 1)
KANWIL MEDAN;AREA MEDAN 2;CP PRINGGAN;KONVEN;63;85,69;100;47,22;57,74
KANWIL MEDAN;AREA MEDAN 2;CP SIMPANG LIMUN;KONVEN;79;91,67;100;77,78;76,98
KANWIL MEDAN;AREA MEDAN 2;CP PASAR MERAH;KONVEN;77;92,78;100;86,11;91,31
KANWIL MEDAN;AREA MEDAN 2;CP MANDALA;KONVEN;84;79,86;100;89,52;78,33
KANWIL MEDAN;AREA MEDAN 1;CPS AR.HAKIM;SYARIAH;83;84,03;100;87,5;86,63
KANWIL MEDAN;AREA MEDAN 2;CP SETIA BUDI;KONVEN;83;87,08;75;76,39;79,68
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP KEMANG PRATAMA;KONVEN;82;88,06;100;72,22;79,29
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP GALAXI;KONVEN;86;93,33;100;90,28;79,76
KANWIL JAKARTA 1;AREA SENEN;CP CEMPAKA PUTIH;KONVEN;91;92,36;100;100;88,04
KANWIL JAKARTA 1;AREA SENEN;CP SALEMBA;KONVEN;90;93,56;100;93,45;95,48
KANWIL BANDUNG;AREA BANDUNG 2;CP KIARACONDONG;KONVEN;82;95,83;100;90,28;74,68
KANWIL JAKARTA 1;AREA SENEN;CP PASAR BARU;KONVEN;91;100;100;90,28;97,5
KANWIL JAKARTA 1;AREA SENEN;CP PASAR SENEN;KONVEN;88;89,17;75;94,44;88,21
KANWIL JAKARTA 1;AREA SENEN;CP ITC CEMPAKA MAS;KONVEN;74;98,61;100;65,28;82,82
KANWIL JAKARTA 1;AREA SENEN;CPS KRAMAT RAYA;SYARIAH;84;88,61;100;84,92;88,73
KANWIL BANDUNG;AREA TASIKMALAYA;CP CICALENGKA;KONVEN;77;100;100;59,72;80,81
KANWIL JAKARTA 1;AREA BEKASI;CPS ISLAMIC CENTRE;SYARIAH;69;89,31;100;49,37;64,01
KANWIL BANDUNG;AREA BANDUNG 1;CPS PAJAJARAN;SYARIAH;93;100;100;100;86,51
KANWIL JAKARTA 1;AREA SENEN;CP PETAMBURAN;KONVEN;91;95;100;93,45;88,81
KANWIL BANDUNG;AREA BANDUNG 2;CP PASAR KORDON;KONVEN;86;97,92;100;79,17;85,54
KANWIL BANDUNG;AREA BANDUNG 1;CP CIMAHI;KONVEN;87;100;100;83,97;86,23
KANWIL BANDUNG;AREA BANDUNG 1;CP PUNGKUR;KONVEN;92;100;100;97,22;79,62
KANWIL BANDUNG;AREA BANDUNG 1;CPS SITUSAEUR;SYARIAH;83;90;100;88,73;84,07
KANWIL MEDAN;AREA MEDAN 2;CP PADANG BULAN;KONVEN;89;97,92;100;84,72;90,48
KANWIL MEDAN;AREA MEDAN 2;CPS SETIA BUDI;SYARIAH;80;97,92;100;65,28;85,48
KANWIL BANDUNG;AREA BANDUNG 2;CP SUBANG;KONVEN;88;86,67;100;94,44;84,76
KANWIL BANDUNG;AREA CIREBON;CP PAMANUKAN;KONVEN;81;75,83;100;91,11;79,05
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN UTAMA;KONVEN;75;81,67;100;79,17;72,32
KANWIL BANDUNG;AREA BANDUNG 2;CP SUCI;KONVEN;84;88,83;100;90,28;83,51
KANWIL MEDAN;AREA MEDAN 1;CP LABUHAN DELI;KONVEN;76;89,17;50;91,67;60,85
KANWIL MEDAN;AREA BANDA ACEH;CPS BANDA ACEH;SYARIAH;83;71,25;50;80,56;85,89
KANWIL BANDUNG;AREA BANDUNG 1;CP CIMINDI;KONVEN;83;93,75;100;73,61;81,79
KANWIL JAKARTA 1;AREA JATIWARINGIN;CPS PLAZA THB;SYARIAH;83;100;100;63,89;88,15
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK UNGU;KONVEN;88;97,92;100;91,9;76,41
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP KRANJI;KONVEN;87;95,83;100;89,52;81,53
KANWIL MEDAN;AREA MEDAN 1;CP KP LALANG;KONVEN;80;100;100;65;84,48
KANWIL JAKARTA 1;AREA BEKASI;CP BEKASI UTAMA;KONVEN;72;77,08;75;79,17;66,27
KANWIL BANDUNG;AREA BANDUNG 2;CP SAYATI;KONVEN;81;87,5;100;87,5;78,08
KANWIL JAKARTA 1;AREA BEKASI;CP BEKASI TIMUR;KONVEN;65;85,83;100;81,35;48,53
KANWIL BANDUNG;AREA CIREBON;CPS CIPTO;SYARIAH;86;91,39;100;73,61;84,98
KANWIL JAKARTA 1;AREA BEKASI;CP SETIA MEKAR;KONVEN;58;87,64;100;20,83;66,57
KANWIL BANDUNG;AREA TASIKMALAYA;CP SUMEDANG;KONVEN;85;89,58;100;94,44;83,59
KANWIL BANDUNG;AREA TASIKMALAYA;CP SINGAPARNA;KONVEN;81;67,08;100;91,9;83,59
KANWIL BANDUNG;AREA BANDUNG 1;CPS KEBONJATI SUKABUMI;SYARIAH;89;94,17;100;100;72,56
KANWIL BANDUNG;AREA BANDUNG 1;CP SUKABUMI;KONVEN;88;89,17;100;91,11;84,84
KANWIL BANDUNG;AREA BANDUNG 2;CP SOREANG;KONVEN;82;87,5;75;91,67;72,62
KANWIL BANDUNG;AREA BANDUNG 2;CP CIPARAY;KONVEN;92;95,83;100;95,83;89,29
KANWIL BANDUNG;AREA BANDUNG 2;CP PASAR BANJARAN;KONVEN;92;93,06;100;97,62;91,29
KANWIL JAKARTA 1;AREA BEKASI;CP CIKARANG;KONVEN;86;89,17;75;90,12;85,32
KANWIL BANDUNG;AREA BANDUNG 1;CP SUKAJADI;KONVEN;79;76,28;100;70,83;81,27
KANWIL MEDAN;AREA MEDAN 1;CP GAHARU;KONVEN;86;93,75;100;66,67;95,83
KANWIL MEDAN;AREA MEDAN 1;CP KRAKATAU;KONVEN;89;88,19;100;93,89;89,01
KANWIL BANDUNG;AREA TASIKMALAYA;CP TANJUNGSARI;KONVEN;87;95,83;100;97,62;88,45
KANWIL MEDAN;AREA MEDAN 1;CP PULO BRAYAN;KONVEN;81;94,44;100;79,17;87,96
KANWIL BANDUNG;AREA BANDUNG 2;CPS VETERAN;SYARIAH;70;77,92;100;71,31;69,96
KANWIL MEDAN;AREA MEDAN 1;CP PANCUR BATU;KONVEN;85;100;100;90,28;90,89
KANWIL BANDUNG;AREA BANDUNG 2;CPS MAJALAYA;SYARIAH;80;94,17;100;73,65;69,13
KANWIL BANDUNG;AREA BANDUNG 1;CP CIKUDAPATEUH;KONVEN;82;87,5;75;86,94;82,74
KANWIL MEDAN;AREA BANDA ACEH;CPS MEULABOH;SYARIAH;75;74,44;100;72,42;81,51
KANWIL JAKARTA 1;AREA KRAMATJATI;CP PENGGILINGAN;KONVEN;89;86,56;100;84,72;92,98
KANWIL MEDAN;AREA BANDA ACEH;CPS BLANG PIDIE;SYARIAH;69;80,56;100;61,67;73,37
KANWIL JAKARTA 1;AREA KRAMATJATI;CP PONDOK KELAPA;KONVEN;96;100;100;100;87,58
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN SUNGGAL;KONVEN;65;83,61;100;40,44;74,46
KANWIL MEDAN;AREA MEDAN 1;CP HELVETIA;KONVEN;77;84,03;100;75;74,4
KANWIL JAKARTA 1;AREA KRAMATJATI;CP BUARAN;KONVEN;90;95,56;100;92,5;94,64
KANWIL MEDAN;AREA MEDAN 1;CP MEDAN PETISAH;KONVEN;76;89,58;100;76,39;65,85
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KRANGGAN;KONVEN;76;91,39;100;81,94;66,27
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK MELATI;KONVEN;68;92,5;100;69,72;51,87
KANWIL MEDAN;AREA MEDAN 1;CP PKL BRANDAN;KONVEN;77;86,81;100;67,02;85,6
KANWIL MAKASAR;AREA MAKASAR 1;CP MALIMONGAN BARU;KONVEN;85;100;100;86,11;75,32
KANWIL MEDAN;AREA MEDAN 2;CP TEBING TINGGI;KONVEN;76;84,72;100;93,45;87,38
KANWIL BANDUNG;AREA TASIKMALAYA;CPS PADAYUNGAN;SYARIAH;87;92,36;100;86,11;84,62
KANWIL MAKASAR;AREA MAKASAR 1;CP DAYA;KONVEN;73;50;50;84,72;65,71
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PEMATANG SIANTAR;KONVEN;65;96,25;100;78,97;59,44
KANWIL MAKASAR;AREA MAKASAR 2;CP PABAENGBAENG;KONVEN;92;97,5;100;95,83;93,25
KANWIL MAKASAR;AREA MAKASAR 1;CP PASAR BUTUNG;KONVEN;84;82,92;100;94,29;79,56
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PARLUASAN;KONVEN;66;76,39;100;58,33;65,38
KANWIL MAKASAR;AREA MAKASAR 2;CP HERTASNING;KONVEN;84;50;50;100;86,43
KANWIL MAKASAR;AREA MAKASAR 2;CP TALASALAPANG;KONVEN;85;95,83;100;85,36;84,58
KANWIL MEDAN;AREA MEDAN 2;CP PERBAUNGAN;KONVEN;70;85;100;59,05;63,39
KANWIL BANDUNG;AREA CIREBON;CP JAMBLANG;KONVEN;78;86,11;100;77,78;72,46
KANWIL MEDAN;AREA MEDAN 2;CP SERBALAWAN;KONVEN;71;70;100;73,89;71,21
KANWIL MAKASAR;AREA MAKASAR 2;CP MAKASSAR;KONVEN;83;100;100;84,72;77,98
KANWIL BANDUNG;AREA BANDUNG 1;CP GEGERKALONG;KONVEN;86;95,83;100;77,42;89,21
KANWIL MEDAN;AREA RANTAU PRAPAT;CP PADANG SIDEMPUAN;KONVEN;87;100;100;89,72;79,01
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PLAZA PONDOK GEDE;KONVEN;79;93,06;100;62,5;77,38
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP JATIWARINGIN;KONVEN;90;96,53;100;79,17;92,06
KANWIL JAKARTA 1;AREA BEKASI;CP KALIMALANG;KONVEN;72;85,83;100;61,11;69,52
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PONDOK BAMBU;KONVEN;80;96,53;100;61,11;85,79
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP HARAPAN INDAH;KONVEN;73;85,83;100;77,18;67,94
KANWIL BANDUNG;AREA CIREBON;CP PLERED;KONVEN;74;81,94;100;77,78;61,27
KANWIL MAKASAR;AREA MAKASAR 1;CP SUDIANG;KONVEN;60;70,56;100;66,67;48,83
KANWIL JAKARTA 1;AREA BEKASI;CPS METRO BOULEVARD CIKARANG;SYARIAH;95;95,83;100;95,24;94,05
KANWIL MAKASAR;AREA MAKASAR 1;CP ANTANG;KONVEN;71;72,22;100;76,39;57,16
KANWIL BANDUNG;AREA TASIKMALAYA;CPS GUNTUR GARUT;SYARIAH;64;83,33;100;20,83;69,13
KANWIL MAKASAR;AREA AMBON;CP NUSANIWE;KONVEN;81;87,36;100;91,67;90,87
KANWIL BANDUNG;AREA TASIKMALAYA;CP JATIWANGI;KONVEN;89;96,94;100;79,56;91,15
KANWIL MEDAN;AREA RANTAU PRAPAT;CP SIBOLGA;KONVEN;71;84,72;100;66,67;63,13
KANWIL BANDUNG;AREA TASIKMALAYA;CP GARUT;KONVEN;77;94,86;100;77,78;58,37
KANWIL BANDUNG;AREA TASIKMALAYA;CP CIBATU;KONVEN;68;78,61;100;78,45;59,35
KANWIL MEDAN;AREA MEDAN 1;CP KABANJAHE;KONVEN;79;84,72;100;69,44;76,43
KANWIL BANDUNG;AREA BANDUNG 1;CP PADALARANG;KONVEN;85;92,36;100;90,08;83,04
KANWIL BANDUNG;AREA CIREBON;CP KLAYAN;KONVEN;72;83,06;100;75;49,66
KANWIL BANDUNG;AREA TASIKMALAYA;CP KUNINGAN;KONVEN;82;70,42;100;87,7;79,05
KANWIL BANDUNG;AREA TASIKMALAYA;CP CILIMUS;KONVEN;82;78,47;100;94,44;70,22
KANWIL BANDUNG;AREA CIREBON;CP CIREBON;KONVEN;87;95,83;100;90,28;82,52
KANWIL MAKASAR;AREA KENDARI;CP WUA WUA;KONVEN;73;75;75;75;75,36
KANWIL BANDUNG;AREA TASIKMALAYA;CP TASIKMALAYA;KONVEN;80;79,17;100;87,74;74,62
KANWIL MEDAN;AREA BANDA ACEH;CPS TAPAK TUAN;SYARIAH;76;69,44;75;68,13;85,93
KANWIL BANDUNG;AREA CIREBON;CP CILEDUG;KONVEN;92;92,78;100;100;91,15
KANWIL BANDUNG;AREA CIREBON;CP LOSARI;KONVEN;92;92,17;100;90,28;93,87
KANWIL MEDAN;AREA BANDA ACEH;CPS LANGSA;SYARIAH;91;96,53;100;94,44;90,48
KANWIL MEDAN;AREA BANDA ACEH;CPS KUALA SIMPANG;SYARIAH;93;95,83;100;97,62;93,81
KANWIL BANDUNG;AREA BANDUNG 2;CP BUAH BATU;KONVEN;86;91,67;100;81,39;83,71
KANWIL BANDUNG;AREA TASIKMALAYA;CP MAJALENGKA;KONVEN;88;83,75;100;91,67;86,63
KANWIL JAKARTA 1;AREA BOGOR;CP BOJONGSARI;KONVEN;81;78,89;100;91,67;76,27
KANWIL JAKARTA 1;AREA BOGOR;CP KEDUNGHALANG;KONVEN;78;71,94;100;91,67;78,35
KANWIL JAKARTA 1;AREA BOGOR;CP PASAR MAWAR;KONVEN;73;72,22;100;73,61;71,47
KANWIL JAKARTA 1;AREA BOGOR;CPS BOGOR BARU;SYARIAH;89;96,11;100;94,44;86,98
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KOTA WISATA;KONVEN;90;100;100;84,72;87,48
KANWIL MAKASAR;AREA MAKASAR 1;CP PELITA;KONVEN;68;98,61;100;56,94;65,69
KANWIL MEDAN;AREA RANTAU PRAPAT;CP T B ASAHAN;KONVEN;70;66,39;75;76,39;73,35
KANWIL BANDUNG;AREA BANDUNG 2;CP UJUNGBERUNG;KONVEN;87;94,17;100;81,94;87,88
KANWIL MAKASAR;AREA MAKASAR 1;CP MAROS;KONVEN;63;90;100;54,17;65,91
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS RANTAU PRAPAT;SYARIAH;81;90,42;100;79,17;89,21
KANWIL PALEMBANG;AREA LAMPUNG;CP METRO;KONVEN;85;96,67;100;95,83;86,98
KANWIL MAKASAR;AREA MAKASAR 2;CP LIMBUNG;KONVEN;65;69,31;100;76,39;55,18
KANWIL MEDAN;AREA MEDAN 2;CP TANJUNG MORAWA;KONVEN;74;90,97;100;72,22;73,63
KANWIL MEDAN;AREA RANTAU PRAPAT;CP KISARAN;KONVEN;73;70,97;50;84,72;75,77
KANWIL JAKARTA 1;AREA BOGOR;CPS MARGONDA;SYARIAH;85;94,86;100;81,94;82,98
KANWIL MAKASAR;AREA PARE-PARE;CP PARE PARE;KONVEN;81;87,92;100;76,39;83,87
KANWIL MAKASAR;AREA PARE-PARE;CP PINRANG;KONVEN;81;86,67;75;76,39;82,2
KANWIL BANDUNG;AREA CIREBON;CP INDRAMAYU;KONVEN;47;67,36;75;51,15;46,33
KANWIL BANDUNG;AREA CIREBON;CP JATIBARANG;KONVEN;85;86,39;100;83,33;86,43
KANWIL MEDAN;AREA BANDA ACEH;CPS BIREUEN;SYARIAH;70;82,22;100;51,39;71,23
KANWIL MAKASAR;AREA MAKASAR 1;CP VETERAN;KONVEN;61;86,81;100;36,11;62,32
KANWIL MEDAN;AREA RANTAU PRAPAT;CP TARUTUNG;KONVEN;74;76,39;100;87,5;81,01
KANWIL BANDUNG;AREA BANDUNG 2;CPS PADASUKA;SYARIAH;96;100;100;91,67;95,06
KANWIL MAKASAR;AREA MAKASAR 2;CP TAKALAR;KONVEN;76;93,75;100;83,33;58,53
KANWIL MAKASAR;AREA PARE-PARE;CP RAPPANG;KONVEN;70;87,5;100;72,22;76,09
KANWIL MEDAN;AREA MEDAN 1;CP SIDIKALANG;KONVEN;71;84,17;100;63,89;66,51
KANWIL MAKASAR;AREA MAKASAR 2;CP BANGKALA;KONVEN;84;95;100;93,89;89,33
KANWIL MAKASAR;AREA BANTAENG;CP JENEPONTO;KONVEN;85;90,83;50;87,5;77,26
KANWIL JAKARTA 1;AREA BOGOR;CP CIBINONG;KONVEN;89;88,61;100;91,67;86,57
KANWIL MAKASAR;AREA MAKASAR 1;CP BARRU;KONVEN;68;77,5;100;66,19;68,71
KANWIL MAKASAR;AREA KENDARI;CP KENDARI;KONVEN;90;95,83;100;97,22;88,45
KANWIL JAKARTA 1;AREA BOGOR;CP WARUNG JAMBU;KONVEN;87;86,53;100;100;89,62
KANWIL JAKARTA 1;AREA BOGOR;CP GUNUNG BATU;KONVEN;93;100;100;100;87,46
KANWIL MAKASAR;AREA MAKASAR 1;CP PANGKEP;KONVEN;76;96,94;100;66,35;72,32
KANWIL BANDUNG;AREA BANDUNG 1;CP CIANJUR;KONVEN;93;93,47;100;100;91,15
KANWIL MAKASAR;AREA KENDARI;CP MANDONGA;KONVEN;81;91,67;100;91,67;65,16
KANWIL MAKASAR;AREA KENDARI;CP KOLAKA;KONVEN;79;98,61;100;79,17;81,21
KANWIL MAKASAR;AREA KENDARI;CP POMALAA;KONVEN;78;85,42;75;76,39;75,26
KANWIL MAKASAR;AREA KENDARI;CP UNAAHA;KONVEN;83;98,33;100;94,44;78,15
KANWIL MAKASAR;AREA PARE-PARE;CP POLEWALI;KONVEN;81;96,94;100;64,8;81,98
KANWIL JAKARTA 1;AREA BOGOR;CP CISALAK;KONVEN;67;92,36;100;55,56;68,35
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KRAMAT JATI;KONVEN;88;90;100;87,5;94,64
KANWIL JAKARTA 1;AREA KRAMATJATI;CPS DEWI SARTIKA;SYARIAH;88;93,06;100;94,44;92,08
KANWIL JAKARTA 1;AREA BOGOR;CP PANCORAN MAS;KONVEN;82;90,97;100;80,56;80,54
KANWIL BANDUNG;AREA CIREBON;CPS PASARBARU;SYARIAH;91;100;100;90,28;97,5
KANWIL BANDUNG;AREA CIREBON;CP ARJAWINANGUN;KONVEN;53;88,89;100;20,83;36,35
KANWIL MAKASAR;AREA PARE-PARE;CP MAJENE;KONVEN;85;88,61;100;90,28;87,26
KANWIL MAKASAR;AREA AMBON;CP TUAL;KONVEN;62;84,86;75;40,28;54,6
KANWIL MEDAN;AREA BANDA ACEH;CPS LHOKSEUMAWE;SYARIAH;71;84,72;100;58,93;79,78
KANWIL JAKARTA 1;AREA SENEN;CP KEMAYORAN;KONVEN;92;95,83;100;94,44;88,1
KANWIL BANDUNG;AREA CIREBON;CP KARANGAMPEL;KONVEN;72;86,94;100;55,71;72,78
KANWIL MEDAN;AREA RANTAU PRAPAT;CP LABUHAN RUKU;KONVEN;73;87,5;100;88,29;73,35
KANWIL MAKASAR;AREA KENDARI;CP RAHA;KONVEN;74;89,72;100;61,11;79,7
KANWIL MEDAN;AREA RANTAU PRAPAT;CPS ALAMAN BOLAK;SYARIAH;88;100;100;87,74;87,7
KANWIL MAKASAR;AREA MAKASAR 2;CP SUNGGUMINASA;KONVEN;78;87,08;100;80,56;74,88
KANWIL JAKARTA 1;AREA JATIWARINGIN;CP PEKAYON;KONVEN;80;100;100;84,72;56,39
KANWIL MAKASAR;AREA KENDARI;CP BAUBAU;KONVEN;82;86,81;100;79,17;84,4
KANWIL MEDAN;AREA MEDAN 1;CP BINJAI;KONVEN;75;88,61;75;66,07;76,85
KANWIL BANDUNG;AREA CIREBON;CP ANJATAN;KONVEN;87;100;100;91,67;86,07
KANWIL JAKARTA 1;AREA KRAMATJATI;CP CIBUBUR;KONVEN;87;95,83;100;84,72;82,46
KANWIL JAKARTA 1;AREA BOGOR;CP BOGOR;KONVEN;85;94,17;100;90,28;85,54
KANWIL MEDAN;AREA MEDAN 1;CP TANJUNG PURA;KONVEN;70;94,17;100;45,99;67,52
KANWIL BANDUNG;AREA TASIKMALAYA;CP BANJAR;KONVEN;80;64,44;100;90,28;87,14
KANWIL MAKASAR;AREA PARE-PARE;CP CABENGE;KONVEN;80;89,72;100;84,72;73,35
KANWIL MAKASAR;AREA PALOPO;CP SENGKANG;KONVEN;79;84,17;100;72,22;81,27
KANWIL MAKASAR;AREA PALOPO;CP PASAR MINI;KONVEN;75;78,89;100;70,83;82,32
KANWIL MAKASAR;AREA PARE-PARE;CP MAMUJU;KONVEN;82;84,03;100;73,61;82,62
KANWIL JAKARTA 1;AREA SENEN;CP SUDIRMAN;KONVEN;76;84,72;100;65,28;78,21
KANWIL MAKASAR;AREA PALOPO;CP BELOPA;KONVEN;76;72,78;50;72,22;79,05
KANWIL MAKASAR;AREA BANTAENG;CP BULUKUMBA;KONVEN;98;91,67;100;100;97,98
KANWIL MAKASAR;AREA BANTAENG;CP BONTOBAHARI;KONVEN;97;97,5;100;95,83;96,59
KANWIL JAKARTA 1;AREA BOGOR;CP KELAPA DUA;KONVEN;72;91,67;100;73,02;63,27
KANWIL MAKASAR;AREA BANTAENG;CP BANTAENG;KONVEN;99;100;100;100;97,98
KANWIL MAKASAR;AREA PALOPO;CP PASAR SENTRAL PALOPO;KONVEN;82;68,89;50;82,62;85,54
KANWIL MAKASAR;AREA PALOPO;CP PALOPO;KONVEN;74;90;100;72,22;70,26
KANWIL JAKARTA 1;AREA BEKASI;CP RENGAS DENGKLOK;KONVEN;91;84,72;100;91,67;93,1
KANWIL BANDUNG;AREA CIREBON;CP CILAMAYA;KONVEN;88;90,83;100;95,83;94,29
KANWIL MAKASAR;AREA MAKASAR 2;CP PALLANGGA;KONVEN;74;79,58;100;80,56;76,85
KANWIL MAKASAR;AREA PARE-PARE;CP SIDRAP;KONVEN;84;98,61;100;84,52;73,08
KANWIL BANDUNG;AREA BANDUNG 2;CP CIKAMPEK;KONVEN;91;100;100;100;94,29
KANWIL JAKARTA 1;AREA BEKASI;CP KARAWANG;KONVEN;95;100;100;96,67;89,98
KANWIL JAKARTA 1;AREA BEKASI;CP TAMBUN;KONVEN;74;87,5;100;68,06;69,07
KANWIL MAKASAR;AREA PALOPO;CP RANTEPAO;KONVEN;81;98,33;100;91,11;76,63
KANWIL MAKASAR;AREA PALOPO;CP MASAMBA;KONVEN;74;88,33;100;72,22;67,02
KANWIL MAKASAR;AREA PALOPO;CP MALILI;KONVEN;70;71,67;100;76,31;57,3
KANWIL BANDUNG;AREA BANDUNG 2;CP PURWAKARTA;KONVEN;78;100;100;84,72;73,97
KANWIL MEDAN;AREA MEDAN 2;CP LUBUK PAKAM;KONVEN;72;68,06;100;50;79,07
KANWIL MEDAN;AREA MEDAN 2;CP GUNUNG SITOLI;KONVEN;81;92,5;100;84,72;76,85
KANWIL JAKARTA 1;AREA BOGOR;CP DEPOK;KONVEN;78;87,92;100;81,94;76,9
KANWIL JAKARTA 1;AREA KRAMATJATI;CP RAWAMANGUN;KONVEN;88;100;100;66,67;90,67
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KAMPUNG AMBON;KONVEN;81;91,67;100;78,61;77,52
KANWIL JAKARTA 1;AREA KRAMATJATI;CP KEBON NANAS;KONVEN;73;92,36;75;66,67;74,72
KANWIL JAKARTA 1;AREA KRAMATJATI;CP JATINEGARA;KONVEN;87;84,44;100;80,56;88,49
KANWIL MAKASAR;AREA PARE-PARE;CP WONOMULYO;KONVEN;70;80,14;100;63,89;66,9
KANWIL MAKASAR;AREA AMBON;CP KAIRATU;KONVEN;76;80,56;75;72,22;81,31
KANWIL SEMARANG;AREA PURWOKERTO;CP BUMIAYU;KONVEN;65;61,67;100;75;59,46
KANWIL SEMARANG;AREA YOGYAKARTA;CP LEMPUYANGAN;KONVEN;91;95,83;100;87,9;93,57
KANWIL SEMARANG;AREA SURAKARTA;CP KLATEN;KONVEN;75;92,78;100;70,83;68,91
