REGION;AREA;CABANG;TIPE;Total Skor ;Total Satpam (KONDISI 1);Total Keberadaan Satpam;Total Penaksir (KONDISI 1);Total Kasir (KONDISI 1)
KANWIL SEMARANG;AREA SURAKARTA;CP GADING;KONVEN;86;95,83;100;92,46;82,3
KANWIL SEMARANG;AREA YOGYAKARTA;CP JOGOYUDAN;KONVEN;90;100;100;94,44;83,45
KANWIL SEMARANG;AREA SURAKARTA;CP BOYOLALI;KONVEN;81;90,69;100;86,11;68,75
KANWIL SEMARANG;AREA YOGYAKARTA;CP TUGUKULON;KONVEN;76;84,58;75;72,3;70,93
KANWIL SEMARANG;AREA SEMARANG;CP PEDURUNGAN;KONVEN;88;92,36;100;94,29;86,51
KANWIL SEMARANG;AREA SURAKARTA;CP PURWOTOMO;KONVEN;81;86,11;75;86,11;71,29
KANWIL SEMARANG;AREA PURWOKERTO;CP TEMANGGUNG;KONVEN;80;73,06;75;73,69;87,74
KANWIL SEMARANG;AREA PURWOKERTO;CP WONOSOBO;KONVEN;77;84,03;75;78,85;71,19
KANWIL SURABAYA;AREA MALANG;CP KOTALAMA;KONVEN;82;86,11;100;88,89;76,69
KANWIL SURABAYA;AREA PAMEKASAN;CPS SUMENEP;SYARIAH;79;86,53;100;65,91;81,21
KANWIL SURABAYA;AREA PAMEKASAN;CPS BLEGA;SYARIAH;77;86,11;100;80,24;79,68
KANWIL SURABAYA;AREA PAMEKASAN;CPS BANGKALAN;SYARIAH;78;93,61;100;94,44;85,16
KANWIL SURABAYA;AREA MALANG;CP SINGOSARI;KONVEN;83;96,53;100;86,11;80,46
KANWIL SURABAYA;AREA PROBOLINGGO;CP PASURUAN;KONVEN;77;93,06;100;72,3;74,29
KANWIL SURABAYA;AREA MADIUN;CP TULUNGAGUNG;KONVEN;82;98,33;100;72,22;88,71
KANWIL SURABAYA;AREA MADIUN;CP BOJONEGORO;KONVEN;86;91,67;100;97,62;84,35
KANWIL SURABAYA;AREA SURABAYA 1;CP GRESIK;KONVEN;89;88,75;100;94,44;83,85
KANWIL SURABAYA;AREA SURABAYA 1;CPS KEBOMAS;SYARIAH;78;73,61;75;80,56;79,88
KANWIL SURABAYA;AREA SURABAYA 1;CP SEDAYU;KONVEN;86;90,28;100;87,5;82,6
KANWIL SURABAYA;AREA PAMEKASAN;CPS PAMEKASAN;SYARIAH;68;85,28;100;57,42;73,29
KANWIL SURABAYA;AREA SURABAYA 1;CPS BLAURAN;SYARIAH;63;84,72;100;85,56;48,06
KANWIL SURABAYA;AREA MADIUN;CP KEDIRI;KONVEN;75;85,83;100;77,78;69,27
KANWIL SURABAYA;AREA SURABAYA 1;CP DINOYOTANGSI;KONVEN;86;90,69;100;87,14;85,58
KANWIL SURABAYA;AREA PROBOLINGGO;CP LUMAJANG;KONVEN;75;92,36;100;67,54;62,82
KANWIL SEMARANG;AREA YOGYAKARTA;CP BASEN;KONVEN;75;88,61;100;71,67;73,35
KANWIL SEMARANG;AREA SURAKARTA;CP KARTASURA;KONVEN;91;91,67;100;97,22;86,85
KANWIL SEMARANG;AREA SEMARANG;CP UNGARAN;KONVEN;84;89,44;75;89,72;83,41
KANWIL SURABAYA;AREA PAMEKASAN;CPS PAMOLOKAN;SYARIAH;65;68,89;100;57,02;67,88
KANWIL SURABAYA;AREA PROBOLINGGO;CP PANDAAN;KONVEN;71;93,33;75;70,83;48,85
KANWIL SEMARANG;AREA YOGYAKARTA;CPS KUSUMANEGARA;SYARIAH;85;84,58;75;86,79;84,84
KANWIL SEMARANG;AREA YOGYAKARTA;CP BANTUL;KONVEN;77;82,78;100;81,94;73
KANWIL SEMARANG;AREA YOGYAKARTA;CP NGUPASAN;KONVEN;76;81,11;75;74,8;67,04
KANWIL SURABAYA;AREA MALANG;CP MALANG;KONVEN;85;91,25;100;91,67;81,29
KANWIL SURABAYA;AREA SURABAYA 1;CP LAMONGAN;KONVEN;81;90,28;100;81,94;80,65
KANWIL SURABAYA;AREA MADIUN;CP BABAT;KONVEN;76;83,89;100;68,06;77,54
KANWIL SURABAYA;AREA MADIUN;CP TUBAN;KONVEN;77;82,72;100;77,78;81,51
KANWIL SURABAYA;AREA SURABAYA 1;CP BRATANG;KONVEN;67;92,36;100;55,56;60,97
KANWIL SURABAYA;AREA SURABAYA 1;CP MULYOSARI;KONVEN;70;92,36;100;62,5;65,1
KANWIL SURABAYA;AREA SURABAYA 2;CP MANUKAN;KONVEN;68;91,67;100;65,28;60,97
KANWIL SURABAYA;AREA SURABAYA 1;CP KALIANYAR;KONVEN;81;84,03;100;73,61;82,8
KANWIL SURABAYA;AREA SURABAYA 1;CP BENTENG;KONVEN;75;86,11;100;66,67;77,04
KANWIL SURABAYA;AREA PROBOLINGGO;CP BESUKI;KONVEN;76;90,28;100;66,15;72,82
KANWIL SURABAYA;AREA MALANG;CP RAMPAL;KONVEN;80;100;100;86,11;79,68
KANWIL SURABAYA;AREA MADIUN;CPS PASAR LEGI;SYARIAH;73;82,08;100;54,96;69,96
KANWIL SURABAYA;AREA JEMBER;CP ASEMBAGUS;KONVEN;88;91,25;100;79,44;89,29
KANWIL SURABAYA;AREA MADIUN;CP JOMBANG;KONVEN;67;86,11;100;44,76;61,83
KANWIL SURABAYA;AREA PROBOLINGGO;CP SITUBONDO;KONVEN;85;93,33;100;76,11;80,26
KANWIL SURABAYA;AREA JEMBER;CP BANYUWANGI;KONVEN;83;85,83;100;90,67;82,76
KANWIL SURABAYA;AREA JEMBER;CP ROGOJAMPI;KONVEN;85;88,19;100;86,11;84,09
KANWIL SURABAYA;AREA JEMBER;CP GENTENG;KONVEN;85;86,67;100;93,06;87,62
KANWIL SURABAYA;AREA SURABAYA 2;CP SEPANJANG;KONVEN;84;94,86;100;90,28;79,15
KANWIL SURABAYA;AREA JEMBER;CP BONDOWOSO;KONVEN;66;76,39;75;58,33;59,5
KANWIL SURABAYA;AREA SURABAYA 2;CP SIDOARJO;KONVEN;84;87,5;100;91,67;84,9
KANWIL SURABAYA;AREA SURABAYA 2;CP GEDANGAN;KONVEN;90;95,83;100;97,22;83,79
KANWIL SURABAYA;AREA MADIUN;CP PONOROGO;KONVEN;90;95,83;100;100;88,87
KANWIL SURABAYA;AREA SURABAYA 2;CPS SIDOARJO;SYARIAH;84;100;100;90,28;81,88
KANWIL SURABAYA;AREA PAMEKASAN;CPS JOKOTOLE;SYARIAH;62;73,33;100;52,78;50,5
KANWIL SURABAYA;AREA PAMEKASAN;CPS SAMPANG;SYARIAH;68;86,81;75;62,02;59,46
KANWIL SURABAYA;AREA PAMEKASAN;CPS SAMPANG KOTA;SYARIAH;63;87,22;100;55,56;64,96
KANWIL SURABAYA;AREA MALANG;CP BLITAR;KONVEN;92;95;100;97,22;92,62
KANWIL SEMARANG;AREA SURAKARTA;CP SUKOHARJO;KONVEN;85;82,78;100;81,94;82,24
KANWIL SEMARANG;AREA SURAKARTA;CP COKRONEGARAN;KONVEN;83;75,69;100;84,72;83,31
KANWIL SEMARANG;AREA PATI;CP KUDUS;KONVEN;79;48,61;50;77,86;87,54
KANWIL SEMARANG;AREA YOGYAKARTA;CP KENTUNGAN;KONVEN;70;86,11;100;58,25;60,44
KANWIL SEMARANG;AREA YOGYAKARTA;CP PURWOREJO;KONVEN;93;100;100;90,28;91,49
KANWIL SEMARANG;AREA PATI;CP PATI;KONVEN;92;88,61;100;93,06;94,56
KANWIL SEMARANG;AREA PATI;CP PURWODADI;KONVEN;86;88,61;100;68,06;92,54
KANWIL SEMARANG;AREA PATI;CP BLORA;KONVEN;97;95,83;100;100;96,31
KANWIL SEMARANG;AREA PURWOKERTO;CP PURBALINGGA;KONVEN;80;91,94;100;70,83;76,37
KANWIL SEMARANG;AREA PATI;CP JEPARA;KONVEN;70;51,67;100;93,06;54,48
KANWIL SEMARANG;AREA YOGYAKARTA;CP MAGELANG;KONVEN;85;100;100;84,56;91,23
KANWIL SEMARANG;AREA PATI;CP GUBUG;KONVEN;92;96,94;100;90,28;91,01
KANWIL SEMARANG;AREA YOGYAKARTA;CP SLEMAN;KONVEN;83;87,22;100;80,56;82,12
KANWIL SEMARANG;AREA PATI;CP REMBANG;KONVEN;79;75,83;100;83,33;77,2
KANWIL SURABAYA;AREA PROBOLINGGO;CP KRAKSAAN;KONVEN;76;92,36;100;65,28;76,37
KANWIL SURABAYA;AREA SURABAYA 2;CP MOJOKERTO;KONVEN;77;88,06;100;80,56;77,96
KANWIL SURABAYA;AREA SURABAYA 2;CP MOJOSARI;KONVEN;78;83,42;100;70,83;79,62
KANWIL SURABAYA;AREA JEMBER;CP TEGALBOTO;KONVEN;85;91,67;100;72,22;90,4
KANWIL SURABAYA;AREA SURABAYA 1;CPS BABAKAN;SYARIAH;76;87,78;100;75;73,55
KANWIL SURABAYA;AREA JEMBER;CPS A YANI;SYARIAH;92;93,33;100;93,06;90,12
KANWIL SURABAYA;AREA PROBOLINGGO;CP PROBOLINGGO;KONVEN;80;96,25;100;67,74;81,51
KANWIL DENPASAR;AREA AMPENAN;CP KRUAK;KONVEN;86;93,06;100;87,74;84,96
KANWIL DENPASAR;AREA DENPASAR;CP GIANYAR;KONVEN;75;95,83;100;65,28;88,93
KANWIL DENPASAR;AREA KUPANG;CP OEPURA;KONVEN;81;83,33;100;77,78;74,96
KANWIL MAKASAR;AREA MAKASAR 1;CP TAMALANREA;KONVEN;82;95,83;100;86,11;81,21
KANWIL MAKASAR;AREA MAKASAR 2;CP MARISO;KONVEN;83;94,44;100;74,4;87,7
KANWIL MAKASAR;AREA AMBON;CP AMBON;KONVEN;73;98,61;100;37,5;78,15
KANWIL MAKASAR;AREA MAKASAR 1;CP BONTOALA;KONVEN;64;86,11;100;69,68;69,4
KANWIL MAKASAR;AREA MAKASAR 2;CP PARANGTAMBUNG;KONVEN;91;97,92;100;93,89;92,9
KANWIL MAKASAR;AREA KENDARI;CPS KENDARI;SYARIAH;79;88,33;100;89,29;67,44
KANWIL DENPASAR;AREA DENPASAR;CP UBUD;KONVEN;79;96,94;100;58,33;85,24
KANWIL DENPASAR;AREA DENPASAR;CP UBUNG;KONVEN;86;78,06;100;97,22;78,27
KANWIL DENPASAR;AREA DENPASAR;CP TOHPATI;KONVEN;87;95,83;100;86,11;85,99
KANWIL DENPASAR;AREA AMPENAN;CP GERUNG;KONVEN;57;67,92;100;58,89;50,42
KANWIL DENPASAR;AREA DENPASAR;CP DENPASAR;KONVEN;88;95,83;100;97,22;81,83
KANWIL DENPASAR;AREA DOMPU;CP SUMBAWA BESAR;KONVEN;57;68,89;100;52,54;42,06
KANWIL DENPASAR;AREA AMPENAN;CPS PSR RENTENG;SYARIAH;74;80,56;100;63,02;71,88
KANWIL DENPASAR;AREA AMPENAN;CP KOPANG;KONVEN;78;76,53;100;97,22;56,37
KANWIL DENPASAR;AREA AMPENAN;CP AMPENAN;KONVEN;78;76,11;75;69,44;83,51
KANWIL DENPASAR;AREA DENPASAR;CP KEROBOKAN;KONVEN;73;83,33;100;79,64;57,14
KANWIL DENPASAR;AREA KUPANG;CP KUPANG;KONVEN;84;84,17;100;93,06;78,17
KANWIL DENPASAR;AREA DENPASAR;CP TABANAN;KONVEN;68;66,39;75;61,43;64,33
KANWIL DENPASAR;AREA DENPASAR;CP SESETAN I;KONVEN;76;92,08;100;68,57;72,54
KANWIL DENPASAR;AREA AMPENAN;CP PRAYA;KONVEN;75;86,25;100;61,43;85,95
KANWIL DENPASAR;AREA AMPENAN;CPS CAKRANEGARA;SYARIAH;83;77,78;100;91,51;78,17
KANWIL DENPASAR;AREA KUPANG;CP OESAPA;KONVEN;82;73,89;100;81,94;85,38
KANWIL DENPASAR;AREA DENPASAR;CP BANGLI;KONVEN;66;83,19;75;65,2;47,72
KANWIL DENPASAR;AREA DOMPU;CP ALAS;KONVEN;72;68,75;50;80,63;66,77
KANWIL DENPASAR;AREA DOMPU;CP TALIWANG;KONVEN;68;76,25;75;52,54;70,71
KANWIL DENPASAR;AREA AMPENAN;CP MASBAGIK;KONVEN;65;78,64;100;88,89;31,51
KANWIL DENPASAR;AREA AMPENAN;CP SELONG;KONVEN;72;84,58;100;66,67;70,99
KANWIL DENPASAR;AREA AMPENAN;CP SAKRA;KONVEN;60;67,36;100;55,56;38,75
KANWIL DENPASAR;AREA KUPANG;CPS KUPANG;SYARIAH;91;81,25;100;93,06;91,09
KANWIL DENPASAR;AREA ENDE;CP PRAILIU;KONVEN;91;93,06;100;91,67;93,04
KANWIL DENPASAR;AREA ENDE;CP WAINGAPU;KONVEN;92;91,11;100;88,89;91,92
KANWIL DENPASAR;AREA DOMPU;CP EMPANG;KONVEN;65;62,08;50;48,93;70,79
KANWIL DENPASAR;AREA AMPENAN;CP SWETA;KONVEN;80;83,47;100;70,75;84,35
KANWIL DENPASAR;AREA AMPENAN;CP AIKMEL;KONVEN;77;90,69;100;78,85;74,25
KANWIL DENPASAR;AREA ENDE;CP MAUMERE;KONVEN;71;70,56;100;70,83;63,29
KANWIL DENPASAR;AREA AMPENAN;CP TANJUNG LOR;KONVEN;62;83,33;100;53,1;53,12
KANWIL DENPASAR;AREA DOMPU;CPS PASAR GINTE;SYARIAH;79;92,78;100;65,56;76,19
KANWIL DENPASAR;AREA DOMPU;CP BOLOSILA;KONVEN;76;70,14;75;73,06;78,59
KANWIL DENPASAR;AREA KUPANG;CP SOE;KONVEN;60;74,03;100;53,57;50,77
KANWIL DENPASAR;AREA KUPANG;CP KEFAMENANU;KONVEN;81;87,5;100;69,44;79,4
KANWIL DENPASAR;AREA DENPASAR;CPS KARTINI;SYARIAH;75;93,75;100;65,28;73,79
KANWIL DENPASAR;AREA DOMPU;CP BIMA;KONVEN;80;84,44;100;72,22;83,21
KANWIL DENPASAR;AREA DOMPU;CP RASANAE;KONVEN;81;88,61;100;76,39;78,35
KANWIL MAKASAR;AREA PARE-PARE;CP WATANSOPPENG;KONVEN;84;87,22;100;72,22;90,95
KANWIL MAKASAR;AREA PARE-PARE;CP DUA PITUE;KONVEN;81;96,25;100;69,44;80,54
KANWIL MAKASAR;AREA BANTAENG;CP SELAYAR;KONVEN;78;81,67;100;72,3;83,37
KANWIL MAKASAR;AREA AMBON;CP PASSO;KONVEN;76;65,14;50;88,89;79,35
KANWIL MAKASAR;AREA PALOPO;CPS L U W U;SYARIAH;78;83,06;100;83,57;76,83
KANWIL MAKASAR;AREA MAKASAR 1;CPS PANGKEP;SYARIAH;73;78,75;100;61,9;82,68
KANWIL MAKASAR;AREA BANTAENG;CPS UJUNG BULU;SYARIAH;95;95,83;100;94,44;93,25
KANWIL MAKASAR;AREA MAKASAR 2;CPS HASANUDDIN;SYARIAH;89;97,5;100;85,95;94,21
KANWIL MAKASAR;AREA MAKASAR 1;CPS CENTRAL;SYARIAH;77;89,03;100;100;55,58
KANWIL SEMARANG;AREA SEMARANG;CP PONCOL;KONVEN;76;100;100;79,17;79,07
KANWIL SEMARANG;AREA SEMARANG;CP NGALIYAN;KONVEN;77;75,69;100;77,78;81,29
KANWIL SEMARANG;AREA TEGAL;CP BATANG;KONVEN;92;95,83;100;97,22;91,23
KANWIL SEMARANG;AREA TEGAL;CP KEJAMBON;KONVEN;84;90,28;100;76,39;87,06
KANWIL SEMARANG;AREA SEMARANG;CP KENDAL;KONVEN;82;80,28;75;84,72;88,57
KANWIL SEMARANG;AREA SEMARANG;CP SALATIGA SELATAN;KONVEN;86;94,86;100;85,12;90,75
KANWIL SEMARANG;AREA PURWOKERTO;CP CILACAP;KONVEN;56;85,28;100;47,78;45,58
KANWIL SEMARANG;AREA SURAKARTA;CP SRAGEN;KONVEN;74;88,89;100;69,44;60,73
KANWIL SEMARANG;AREA SURAKARTA;CP KARANGANYAR;KONVEN;66;87,5;100;33,33;71,71
KANWIL SEMARANG;AREA PURWOKERTO;CPS PASAR WAGE;SYARIAH;72;84,17;75;75;64,07
KANWIL SEMARANG;AREA SURAKARTA;CP JATISRONO;KONVEN;70;77,5;75;72,22;58,51
KANWIL SEMARANG;AREA TEGAL;CP TEGAL;KONVEN;60;75,69;75;30,71;55,79
KANWIL SEMARANG;AREA SEMARANG;CP KALIBANTENG;KONVEN;79;84,17;100;84,72;80,16
KANWIL SEMARANG;AREA YOGYAKARTA;CP SENTUL;KONVEN;75;83,61;100;75;70,85
KANWIL SEMARANG;AREA TEGAL;CP PEKALONGAN;KONVEN;85;95,83;100;86,94;88,43
KANWIL SEMARANG;AREA SURAKARTA;CP WONOGIRI;KONVEN;82;91,67;100;76,39;80,1
KANWIL SEMARANG;AREA PURWOKERTO;CP KEBUMEN;KONVEN;94;95,83;100;95,83;91,49
KANWIL SEMARANG;AREA PURWOKERTO;CP PURWOKERTO;KONVEN;80;94,44;100;72,22;70,54
KANWIL SEMARANG;AREA TEGAL;CP BREBES;KONVEN;78;85,42;100;76,39;70,36
KANWIL SEMARANG;AREA PATI;CPS PASAR NGABUL;SYARIAH;80;80,14;100;80,56;72,96
KANWIL SEMARANG;AREA SEMARANG;CPS MAJAPAHIT;SYARIAH;90;92,78;100;87,9;86,55
KANWIL SEMARANG;AREA SEMARANG;CPS KALIGARANG;SYARIAH;91;100;100;87,34;87,46
KANWIL SURABAYA;AREA MALANG;CP TLOGOMAS;KONVEN;84;95;100;87,5;80,93
KANWIL SURABAYA;AREA PAMEKASAN;CPS KETAPANG;SYARIAH;62;69,03;50;59,92;59,96
KANWIL SURABAYA;AREA PROBOLINGGO;CPS PROBOLINGGO;SYARIAH;75;97,5;100;51,39;81,83
KANWIL MAKASAR;AREA MAKASAR 2;CP PANAKKUKANG;KONVEN;66;74,86;50;68,06;60,63
KANWIL SEMARANG;AREA TEGAL;CP SLAWI;KONVEN;82;78,06;50;77,46;81,57
KANWIL SEMARANG;AREA TEGAL;CP PEMALANG;KONVEN;88;96,53;100;80,56;91,23
KANWIL SEMARANG;AREA SURAKARTA;CPS SOLO BARU;SYARIAH;76;87,78;50;78,61;68,27
KANWIL SURABAYA;AREA PAMEKASAN;CPS PASEAN;SYARIAH;69;77,36;100;72,22;69,54
KANWIL SURABAYA;AREA PAMEKASAN;CPS PRENDUAN;SYARIAH;66;74,72;75;61,71;67,4
KANWIL DENPASAR;AREA DENPASAR;CP KRENENG;KONVEN;83;92,5;100;69,44;82,1
KANWIL DENPASAR;AREA DENPASAR;CP NEGARA;KONVEN;73;84,86;100;64,17;75,71
KANWIL DENPASAR;AREA DENPASAR;CP SEMARAPURA;KONVEN;78;95,83;100;72,62;71,55
KANWIL DENPASAR;AREA DENPASAR;CP AMLAPURA;KONVEN;72;90,97;100;71,31;57,14
KANWIL DENPASAR;AREA DENPASAR;CP MENGWI;KONVEN;76;81,94;75;72,22;83,15
KANWIL DENPASAR;AREA DOMPU;CP SAPE;KONVEN;71;74,72;100;74,68;75,58
KANWIL DENPASAR;AREA KUPANG;CP ATAMBUA;KONVEN;83;85,42;100;95,83;80,85
KANWIL DENPASAR;AREA DENPASAR;CP SINGARAJA;KONVEN;72;95,83;100;65,75;60,22
KANWIL DENPASAR;AREA DOMPU;CP TENTE;KONVEN;72;76,53;75;63,97;78,99
KANWIL DENPASAR;AREA DENPASAR;CP KUTA;KONVEN;82;95,83;100;75;75,32
KANWIL DENPASAR;AREA DOMPU;CP DOMPU;KONVEN;82;96,94;100;70,83;80,95
KANWIL DENPASAR;AREA AMPENAN;CP MATARAM;KONVEN;75;72,08;50;81,94;67,08
KANWIL DENPASAR;AREA ENDE;CP ENDE;KONVEN;76;75,69;75;81,94;71,55
KANWIL DENPASAR;AREA ENDE;CP WOLOWONA;KONVEN;85;56,67;100;87,5;89,48
KANWIL DENPASAR;AREA ENDE;CPS ENDE;SYARIAH;87;92,78;100;84,72;85,32
KANWIL MAKASAR;AREA PARE-PARE;CPS PANGKAJENE;SYARIAH;87;90;75;90,48;79,25
KANWIL SEMARANG;AREA TEGAL;CPS PONOLAWEN;SYARIAH;93;91,67;100;97,22;90,87
KANWIL DENPASAR;AREA DENPASAR;CP HARDYS;KONVEN;81;86,81;100;75;75,54
KANWIL DENPASAR;AREA ENDE;CP LABUAN BAJO;KONVEN;67;54,86;50;66,19;75,52
KANWIL DENPASAR;AREA DENPASAR;CP RENON;KONVEN;93;96,94;100;95,83;91,79
KANWIL DENPASAR;AREA ENDE;CP WAIKABUBAK;KONVEN;79;86,81;100;56,94;82,82
KANWIL DENPASAR;AREA DENPASAR;CP JIMBARAN;KONVEN;75;100;100;75;66,09
KANWIL DENPASAR;AREA ENDE;CP WAITABULA;KONVEN;84;84,17;100;76,39;84,17
KANWIL DENPASAR;AREA ENDE;CP LARANTUKA;KONVEN;72;70,83;50;69,37;71,29
KANWIL MAKASAR;AREA BANTAENG;CP WATAMPONE;KONVEN;74;79,72;75;70,56;70,02
KANWIL SURABAYA;AREA MALANG;CP BLIMBING;KONVEN;79;81,67;100;83,57;81,51
KANWIL SURABAYA;AREA MADIUN;CP MADIUN;KONVEN;96;98,61;100;100;93,39
KANWIL SURABAYA;AREA SURABAYA 1;CP WONOKROMO;KONVEN;68;90,97;100;62,5;63,83
KANWIL SURABAYA;AREA MALANG;CP KEPANJEN;KONVEN;80;90,28;100;88,89;81,98
KANWIL SURABAYA;AREA JEMBER;CP JEMBER;KONVEN;88;100;100;93,06;89,21
KANWIL SURABAYA;AREA MADIUN;CP MAGETAN;KONVEN;93;93,75;100;100;90,67
KANWIL SURABAYA;AREA MALANG;CP TUREN;KONVEN;75;90,28;100;75;67,54
KANWIL SURABAYA;AREA MALANG;CPS LANDUNGSARI;SYARIAH;84;100;100;86,11;75,65
KANWIL DENPASAR;AREA ENDE;CP RUTENG;KONVEN;82;87,92;100;72,14;82,86
KANWIL SURABAYA;AREA MADIUN;CP NGAWI;KONVEN;95;100;100;100;94,01
KANWIL SURABAYA;AREA SURABAYA 2;CP WIYUNG;KONVEN;86;88,06;100;97,22;78,35
KANWIL SEMARANG;AREA SEMARANG;CP BANYUMANIK;KONVEN;79;79,58;100;86,11;81,63
KANWIL SURABAYA;AREA MADIUN;CP NGANJUK;KONVEN;77;81,25;100;68,06;80,12
KANWIL DENPASAR;AREA DENPASAR;CP GATOT SUBROTO;SYARIAH;86;96,67;100;86,11;82,46
KANWIL SURABAYA;AREA SURABAYA 2;CP JEMURSARI;KONVEN;83;95,83;100;75;76,75
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SIANTAN;KONVEN;78;87,78;100;75;79,96
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP BARABAI;KONVEN;62;77,78;75;47,98;71,43
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP TABALONG;KONVEN;72;90,97;100;74,92;70,32
KANWIL BALIKPAPAN;AREA BANJARMASIN;CP BATU LICIN;KONVEN;77;93,75;100;80,56;73,79
KANWIL BALIKPAPAN;AREA SAMARINDA;CP SUNGAI PINANG;KONVEN;84;93,33;100;85;79,76
KANWIL BALIKPAPAN;AREA PONTIANAK;CP JERUJU;KONVEN;72;81,94;100;54,76;70,06
KANWIL BALIKPAPAN;AREA SAMARINDA;CPS PASAR MERDEKA;SYARIAH;86;98,33;100;95,24;70,24
KANWIL BALIKPAPAN;AREA PONTIANAK;CP KEMUNING;KONVEN;96;100;100;97,62;93,73
KANWIL BALIKPAPAN;AREA PONTIANAK;CP PONTIANAK;KONVEN;94;91,67;100;100;93,39
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SUNGAI RAYA;KONVEN;77;81,25;100;72,22;63,27
KANWIL BALIKPAPAN;AREA PONTIANAK;CP SUNGAI JAWI;KONVEN;80;79,17;50;80,24;90,12
